"LicenseNumber","Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseStatus","Phone","ZipCode"
"CB820201107","20100 GREENFIELD RD, DETROIT, Wayne, MI 48235-1803, UNITED STATES","a0i8z0000006kKvAAI","ENNIS CENTER FOR CHILDREN - DETROIT","Child Placing Agency: Private","Detroit","Wayne","2024-05-22","Ennis Center for Children Inc","2026-05-21","Regular","3133422699","48235-1803"
"CB820201130","17940 FARMINGTON RD, LIVONIA, Wayne, MI 48152-4444, UNITED STATES","a0i8z0000006TfmAAE","FOREVER FAMILIES","Child Placing Agency: Private","Livonia","Wayne","2025-12-10","Forever Families Inc","2027-12-09","Regular","7347620909","48152-4444"
"CB820201144","525 E HURON RIVER DR, BELLEVILLE, Wayne, MI 48111-3665, UNITED STATES","a0i8z0000006TeAAAU","GUIDING HARBOR","Child Placing Agency: Private","Belleville","Wayne","2024-06-10","Girlstown Foundation","2026-06-09","Regular","7346977242","48111-3665"
"CB820201177","1906 25TH ST, DETROIT, Wayne, MI 48216-1435, UNITED STATES","a0i8z0000006ZgaAAE","HOMES FOR BLACK CHILDREN","Child Placing Agency: Private","Detroit","Wayne","2025-02-08","Homes For Black Children","2027-02-07","Regular","3139614777","48216-1435"
"CB820201212","3 PARKLANE BLVD STE 730W, Suite 730W, DEARBORN, Wayne, MI 48126-2502, UNITED STATES","a0i8z0000006V5BAAU","JUDSON CPA","Child Placing Agency: Private","Dearborn","Wayne","2025-08-16","Judson Center","2027-08-15","Regular","3137945653","48126-2502"
"CB820201219","933 N MELBORN ST, DEARBORN, Wayne, MI 48128-1784, UNITED STATES","a0i8z0000006TNuAAM","KEANE CENTER FOR ADOPTION","Child Placing Agency: Private","Dearborn","Wayne","2024-12-27","Keane Center For Adoption","2026-12-26","Regular","3132774664","48128-1784"
"CB820201258","8131 E Jefferson Ave, Detroit, Wayne, MI 48214-2610, UNITED STATES","a0i8z0000006WdnAAE","Legacy Adoption Services - East","Child Placing Agency: Private","Detroit","Wayne","2025-01-25","Lutheran Adoption Services, Inc.","2027-01-24","Regular","2484232770","48214-2610"
"CB820201265","8131 E JEFFERSON AVE, DETROIT, Wayne, MI 48214-2610, UNITED STATES","a0i8z0000006V9KAAU","SAMARITAS - SOUTHEAST","Child Placing Agency: Private","Detroit","Wayne","2025-10-15","Samaritas","2027-10-14","Regular","2484232760","48214-2610"
"CB820201295","26645 W 6 MILE RD, DETROIT, Wayne, MI 48240-2319, UNITED STATES","a0i8z0000006ZLjAAM","METHODIST CHILDREN'S HOME SOCIETY","Child Placing Agency: Private","Detroit","Wayne","2025-02-01","Methodist Children's Home Society","2027-01-31","Regular","3135314060","48240-2319"
"CB820201475","548 E GRAND BLVD, DETROIT, Wayne, MI 48207-3534, UNITED STATES","a0i8z0000006ZetAAE","Transitional Living Program","Child Placing Agency: Private","Detroit","Wayne","2024-09-21","Federation of Youth Services","2026-09-20","Regular","3135714707","48207-3534"
"CB820201485","20651 W WARREN ST, DEARBORN HTS, Wayne, MI 48127-2622, UNITED STATES","a0i8z0000006ZKQAA2","VISTA MARIA FOSTER CARE","Child Placing Agency: Private","Dearborn Hts","Wayne","2025-08-13","Sisters of Good Shepherd","2027-08-12","Regular","3132713050","48127-2622"
"CB820201514","20300 Superior Rd, Suite 140, Taylor, Wayne, MI 48180-6302, UNITED STATES","a0i8z0000006hWtAAI","WOLVERINE HUMAN SERVICES AFTERCARE","Child Placing Agency: Private","Taylor","Wayne","2025-11-29","Wolverine Human Services","2027-11-28","Regular","3132956264","48180-6302"
"CB820252473","28303 JOY RD, WESTLAND, Wayne, MI 48185-5524, UNITED STATES","a0i8z0000006TXbAAM","SPECTRUM HUMAN SERVICES INDEPENDENT LIVING","Child Placing Agency: Private","Westland","Wayne","2025-04-06","Spectrum Child & Family Services","2027-04-05","Regular","7344588736","48185-5524"
"CB820315857","18688 JOANN ST, DETROIT, Wayne, MI 48205-2748, UNITED STATES","a0i8z0000006gpXAAQ","COMMUNITY CARE ORGANIZATION","Child Placing Agency: Private","Detroit","Wayne","2025-08-18","Community Care Organization","2026-02-17","1st Provisional","3133344750","48205-2748"
"CB820405659","13101 ALLEN RD, SOUTHGATE, Wayne, MI 48195-2216, UNITED STATES","a0i8z0000006WZkAAM","THE GUIDANCE CENTER","Child Placing Agency: Private","Southgate","Wayne","2025-08-02","The Guidance Center","2027-08-01","Regular","7347857700","48195-2216"
"CB820413571","15751 Joy Rd., Detroit, Wayne, MI 48228, USA","a0i8z0000006SEvAAM","Christ Child Detroit","Child Placing Agency: Private","Detroit","Wayne","2025-06-05","Christ Child Society","2027-06-04","Regular","3135846077","48228-2117"
"CB821001419","8017 Ohio St, Detroit, Wayne, MI 48204-3235, UNITED STATES","a0i8z000000b7qhAAA","Anderson Life Development Center","Child Placing Agency: Private","Detroit","Wayne","2025-07-02","Anderson Life Development Center","2027-07-01","Regular","3134677002","48204-3235"
"CE090200968","520 W HAMPTON RD, ESSEXVILLE, Bay, MI 48732-9710, UNITED STATES","a0i8z0000006U8XAAU","BAY COUNTY JUVENILE HOME","Child Caring Institution: Government Non-MDHHS","ESSEXVILLE","Bay","2024-02-18","Bay County","2026-02-16","Regular","9898924519","48732-9710"
"CE130201005","14555 18 1/2 MILE RD, MARSHALL, Calhoun, MI 49068-8300, UNITED STATES","a0i8z0000006fD5AAI","Calhoun County Youth Center","Child Caring Institution: Government Non-MDHHS","MARSHALL","Calhoun","2024-12-05","Calhoun County","2026-12-04","Regular","2697817221","49068-8300"
"CE460201286","2910 AIRPORT RD, ADRIAN, Lenawee, MI 49221-4109, UNITED STATES","a0i8z0000006fGrAAI","MAURICE SPEAR CAMPUS","Child Caring Institution: Government Non-MDHHS","ADRIAN","Lenawee","2025-04-15","Lenawee County","2027-04-14","Regular","5172655171","49221-4109"
"CE500201270","400 N ROSE ST, MOUNT CLEMENS, Macomb, MI 48043-1522, UNITED STATES","a0i8z0000006SfcAAE","MACOMB COUNTY JUVENILE JUSTICE CENTER","Child Caring Institution: Government Non-MDHHS","MOUNT CLEMENS","Macomb","2025-12-09","County of Macomb","2027-12-08","Regular","5864695375","48043-1522"
"CE630201058","1200 N TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1032, UNITED STATES","a0i8z0000006SeyAAE","Children's Village","Child Caring Institution: Government Non-MDHHS","PONTIAC","Oakland","2024-03-02","County of Oakland","2026-03-01","Regular","2488581164","48341-1032"
"CE630201059","1200 N TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1032, UNITED STATES","a0i8z0000006X49AAE","Children's Village-Shelter","Child Caring Institution: Government Non-MDHHS","PONTIAC","Oakland","2024-06-14","County of Oakland","2026-06-13","Regular","2488581150","48341-1032"
"CE630201060","1200 N TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1032, UNITED STATES","a0i8z0000006U7vAAE","Childrens Village-Residential","Child Caring Institution: Government Non-MDHHS","Pontiac","Oakland","2024-02-13","County of Oakland","2026-02-12","Regular","2488581164","48341-1032"
"CE810254752","4125 WASHTENAW AVE, ANN ARBOR, Washtenaw, MI 48108-1003, UNITED STATES","a0i8z0000006X3qAAE","WASHTENAW COUNTY YOUTH CENTER","Child Caring Institution: Government Non-MDHHS","ANN ARBOR","Washtenaw","2024-05-07","Washtenaw County","2026-05-06","Regular","7349711311","48108-1003"
"CE821001676","5301 Russell St, Detroit, Wayne, MI 48211-2500, UNITED STATES","a0i8z000000fLdiAAE","Wayne County Juvenile Detention Facility","Child Caring Institution: Government Non-MDHHS","Detroit","Wayne","2025-11-12","County of Wayne","2026-05-11","1st Provisional","3137704458","48211-2500"
"CI090396004","713 9TH ST, BAY CITY, Bay, MI 48708-6403, UNITED STATES","a0i8z0000006iOqAAI","GOOD SAMARITAN RESCUE MISSION","Child Caring Institution: Private","Bay City","Bay","2025-07-24","City Rescue of Saginaw Inc.","2027-07-23","Regular","9898935973","48708-6403"
"CI131001910","13725 Starr Commonwealth RD, Albion, Calhoun, MI 49224, UNITED STATES","a0i8z000000ff79AAA","Responsive Deployment Children's Shelter","Child Caring Institution: Private","Albion","Calhoun","2024-09-17","Responsive Deployment LLC","2026-09-16","Regular","6472944909","49224"
"CI250201313","1201 N GRAND TRAVERSE ST, FLINT, Genesee, MI 48503-1312, UNITED STATES","a0i8z0000006Vb1AAE","MOTT CHILDRENS RESIDENCE","Child Caring Institution: Private","FLINT","Genesee","2025-10-28","Whaley Children's Center","2026-04-25","1st Provisional","8102343603","48503-1312"
"CI250201372","914 CHURCH ST, FLINT, Genesee, MI 48502-1010, UNITED STATES","a0i8z0000006bwiAAA","R E A C H","Child Caring Institution: Private","Flint","Genesee","2024-09-15","Genesee County Youth Corp Inc","2026-09-14","Regular","8102338700","48502-1010"
"CI250201521","2954 CONCORD ST, FLINT, Genesee, MI 48504-3040, UNITED STATES","a0i8z0000006U8QAAU","ZONTA HOUSE","Child Caring Institution: Private","FLINT","Genesee","2024-07-21","Whaley Children's Center","2026-07-20","Regular","8102328281","48504-3040"
"CI250309991","1802 CARMANBROOK PKWY, FLINT, Genesee, MI 48507-1444, UNITED STATES","a0i8z0000006iKrAAI","OPTIMIST HOUSE","Child Caring Institution: Private","FLINT","Genesee","2024-05-16","Whaley Children's Center","2026-05-15","Regular","8102374471","48507-1444"
"CI250410439","9300 Lahring Road, Gaines, Genesee, MI 48436, USA","a0i8z0000006SI5AAM","Mission Ranch","Child Caring Institution: Private","Gaines","Genesee","2025-06-11","Prism Project","2027-06-10","Regular","8103996900","48436-9746"
"CI330201171","5123 OLD PLANK RD, ONONDAGA, Ingham, MI 49264-9707, UNITED STATES","a0i8z0000006XkZAAU","HIGHFIELDS","Child Caring Institution: Private","ONONDAGA","Ingham","2025-03-10","Highfields, Inc.","2027-03-09","Regular","5176282287","49264-9707"
"CI330273573","2025 N GRAND RIVER AVE, LANSING, Ingham, MI 48906-3974, UNITED STATES","a0i8z0000006Sf2AAE","PECKHAM, INC. - FOOTPRINTS","Child Caring Institution: Private","Lansing","Ingham","2025-09-09","Peckham Voc. Industries Inc. - d/b/a Peckham, Inc.","2027-09-08","Regular","5173198436","48906-3974"
"CI330410650","2721 S. Washington Ave #1, Lansing, Ingham, MI 48910, USA","a0i8z0000006SJSAA2","Jackson House","Child Caring Institution: Private","Lansing","Ingham","2024-01-17","Child and Family Charities","2026-01-15","Regular","5179756310","48910-2871"
"CI331000184","2828 W. Willow St., LANSING, Ingham, MI 48917-1833, UNITED STATES","a0i8z000000DIZmAAO","Catholic Charities IEC Children's Home","Child Caring Institution: Private","Lansing","Ingham","2025-10-25","Catholic Charities of Ingham, Eaton & Clinton Counties","2027-10-24","Regular","5172538260","48917-1833"
"CI370201202","1510 E BLANCHARD RD, SHEPHERD, Isabella, MI 48883-9555, UNITED STATES","a0i8z0000006fDAAAY","Isabella County Non-Secure","Child Caring Institution: Private","Shepherd","Isabella","2024-03-04","McBride Quality Care Services, Inc.","2026-03-03","Regular","9898285240","48883-9555"
"CI370377212","1719 E HIGH ST, MT PLEASANT, Isabella, MI 48858-8989, UNITED STATES","a0i8z0000006SemAAE","New Hope Youth Center","Child Caring Institution: Private","MT PLEASANT","Isabella","2025-04-10","New Hope Youth Services, LLC","2027-04-09","Regular","5175998399","48858-8989"
"CI380385672","511 S JACKSON ST, JACKSON, Jackson, MI 49203-1708, UNITED STATES","a0i8z0000006iOQAAY","SAMARITAS - JACKSON HOUSE","Child Caring Institution: Private","Jackson","Jackson","2025-09-29","Samaritas","2027-09-28","Regular","5177877616","49203-1708"
"CI390201463","990 W KILGORE RD, KALAMAZOO, Kalamazoo, MI 49008-3614, UNITED STATES","a0i8z0000006bwtAAA","THE ARK","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-08-30","Catholic Family Services","2026-08-29","Regular","2693438765","49008-3614"
"CI390311366","406 ELDRED ST, KALAMAZOO, Kalamazoo, MI 49006-4513, UNITED STATES","a0i8z0000006SfdAAE","LET'S TALK ABOUT IT HOME FOR YOUNG MEN","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-07-23","ACTS II Ministry For Teens","2026-07-22","Regular","2695679409","49006-4513"
"CI390318114","9616 PORTAGE RD, PORTAGE, Kalamazoo, MI 49002-7257, UNITED STATES","a0i8z0000006iKzAAI","GREAT LAKES CENTER FOR AUTISM TREATMENT & RESEARCH","Child Caring Institution: Private","Portage","Kalamazoo","2025-02-12","Residential Opportunities, Inc.","2027-02-11","Regular","2693433731","49002-7257"
"CI390385656","1638 LAKE ST, KALAMAZOO, Kalamazoo, MI 49001-3170, UNITED STATES","a0i8z0000006SfEAAU","GAIL'S HOUSE","Child Caring Institution: Private","KALAMAZOO","Kalamazoo","2025-11-24","Family & Children Services","2027-11-23","Regular","2693440202","49001-3170"
"CI390395642","5704 ELAINE AVE, KALAMAZOO, Kalamazoo, MI 49048-5859, UNITED STATES","a0i8z0000006VaXAAU","THE GREAT LAKES CENTER FOR AUTISM -ELAINE AVE","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2025-07-14","Residential Opportunities, Inc.","2027-07-13","Regular","2692508249","49048-5859"
"CI390403045","615 W. Lovell, Kalamazoo, Kalamazoo, MI 49007, USA","a0i8z0000006SJOAA2","Let's Talk About it Girl's Home III","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-09-18","Let's Talk About It CMH Services, PLLC","2026-09-17","Regular","2484311371","49007-4615"
"CI390407606","6350 W KL AVE, KALAMAZOO, Kalamazoo, MI 49009-9197, UNITED STATES","a0i8z0000006U7gAAE","HACIENDA DE LUZ","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-05-10","Bethany Christian Services Inc","2026-05-09","Regular","2693728800","49009-9197"
"CI390407805","1630 Lake Street, Kalamazoo, Kalamazoo, MI 49001, USA","a0i8z0000006SHWAA2","Glen's House","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2025-09-29","Family & Children Services","2027-09-28","Regular","2693440202","49001-3170"
"CI410200975","901 EASTERN AVE, GRAND RAPIDS, Kent, MI 49503-1201, UNITED STATES","a0i8z0000006Sf5AAE","BETHANY CHRISTIAN SERVICES INC-RESIDENTIAL","Child Caring Institution: Private","GRAND RAPIDS","Kent","2024-07-25","Bethany Christian Services Inc","2026-07-24","Regular","6164596273","49503-1201"
"CI410201226","3290 36TH ST, GRAND RAPIDS, Kent, MI 49512-8193, UNITED STATES","a0i8z0000006Xk9AAE","KENTWOOD CAMPUS","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-10-23","Wedgwood Christian Services","2026-04-20","1st Provisional","6169422110","49512-8193"
"CI410201278","300 68TH ST, GRAND RAPIDS, Kent, MI 49548-6927, UNITED STATES","a0i8z0000006SfZAAU","MAPLE LODGE GROUP HOME","Child Caring Institution: Private","GRAND RAPIDS","Kent","2024-02-02","Pine Rest Christian Mental Health Services","2026-01-31","Regular","6164555000","49548-6927"
"CI410201464","1115 BALL AVE, GRAND RAPIDS, Kent, MI 49505-5904, UNITED STATES","a0i8z0000006U80AAE","THE BRIDGE FOR RUNAWAYS","Child Caring Institution: Private","Grand Rapids","Kent","2025-01-02","Arbor Circle Corporation","2027-01-01","Regular","6164513001","49505-5904"
"CI410268882","3333 36TH ST SE, KENTWOOD, Kent, MI 49512-2809, UNITED STATES","a0i8z0000006VbIAAU","D.A.R.T.","Child Caring Institution: Private","KENTWOOD","Kent","2024-05-06","Hope Network Behavioral Health Services","2026-05-05","Regular","6169543540","49512-2809"
"CI410298928","3340 36TH ST SE, GRAND RAPIDS, Kent, MI 49512-2810, UNITED STATES","a0i8z0000006XkfAAE","EAST CAMPUS","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-08-27","Wedgwood Christian Services","2027-08-26","Regular","6169422110","49512-2810"
"CI410305582","2355 KNAPP ST NE, GRAND RAPIDS, Kent, MI 49505-4411, UNITED STATES","a0i8z0000006fGyAAI","ST. JOHN'S HOME RESIDENTIAL","Child Caring Institution: Private","GRAND RAPIDS","Kent","2024-03-18","DA Blodgett for Children","2026-03-17","Regular","6163615227","49505-4411"
"CI410312005","2440 RICHMOND ST, GRAND RAPIDS, Kent, MI 49504-2322, UNITED STATES","a0i8z0000006U7ZAAU","BETHANY CHRISTIAN SVCS-GR-CASA DEL SOL","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-09-21","Bethany Christian Services Inc","2027-09-20","Regular","6162400149","49504-2322"
"CI410337023","3240 36TH ST, GRAND RAPIDS, Kent, MI 49512-8193, UNITED STATES","a0i8z0000006U85AAE","WEST CAMPUS","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-08-31","Wedgwood Christian Services","2027-08-30","Regular","6169422110","49512-8193"
"CI410361186","3220 52ND ST, KENTWOOD, Kent, MI 49512-9672, UNITED STATES","a0i8z0000006bwnAAA","BETHANY CHRISTIAN SERVICES-GRAND RAPIDS BELLAVIEW","Child Caring Institution: Private","KENTWOOD","Kent","2025-03-05","Bethany Christian Services Inc","2027-03-04","Regular","6168267308","49512-9672"
"CI410399718","670 BURTON ST SE, GRAND RAPIDS, Kent, MI 49507-3202, UNITED STATES","a0i8z0000006iOfAAI","BRIDGEWAY","Child Caring Institution: Private","Grand Rapids","Kent","2024-05-04","Bethany Christian Services Inc","2026-05-03","Regular","6162047208","49507-3202"
"CI410409653","2361 KNAPP ST SE NE, GRAND RAPIDS, Kent, MI 49505-4415, UNITED STATES","a0i8z0000006U7mAAE","SAMARITAS SHELTER GRAND RAPIDS","Child Caring Institution: Private","Grand Rapids","Kent","2025-12-14","Samaritas","2027-12-13","Regular","5178962041","49505-4415"
"CI411000929","300 68th St SE, Grand Rapids, Kent, MI 49548-6927, UNITED STATES","a0i8z000000VwxNAAS","Lotus Treatment Program","Child Caring Institution: Private","Grand Rapids","Kent","2025-12-11","Pine Rest Christian Mental Health Services","2027-12-10","Regular","6164559200","49548-6927"
"CI411002076","3508 Shaffer Ave SE, Grand Rapids, Kent, MI 49512-2808, UNITED STATES","a0i8z000000zfC6AAI","The Audere Home","Child Caring Institution: Private","Grand Rapids","Kent","2025-08-22","Wedgwood Christian Services","2026-02-17","Original","6169422110","49512-2808"
"CI411002741","901 Eastern Ave NE, Building C, Grand Rapids, Kent, MI 49503-1201, UNITED STATES","a0ics000000orxBAAQ","Bethany Christian Services TLC","Child Caring Institution: Private","Grand Rapids","Kent","2025-11-03","Bethany Christian Services Inc","2027-11-02","Regular","6163072485","49503-1201"
"CI460403164","190 PLEASANT KNOLL DR, ADRIAN, Lenawee, MI 49221-1220, UNITED STATES","a0i8z0000006U7hAAE","ADRIAN GROUP HOME","Child Caring Institution: Private","ADRIAN","Lenawee","2024-02-14","LHS Family and Youth Services","2026-02-12","Regular","4199023894","49221-1220"
"CI470272289","115 SWANN CT, HOWELL, Livingston, MI 48843-2153, UNITED STATES","a0i8z0000006X40AAE","THE CONNECTION SHELTER","Child Caring Institution: Private","Howell","Livingston","2024-06-22","Livingston Family Center, Inc,","2026-06-21","Regular","8106235892","48843-2153"
"CI480201234","7820 STATE HIGHWAY M123, NEWBERRY, Luce, MI 49868-8131, UNITED STATES","a0i8z0000006SevAAE","LAKES AREA TEACH FAMILY HOME","Child Caring Institution: Private","NEWBERRY","Luce","2025-04-28","Teaching Family Homes of Upper Michigan","2027-04-27","Regular","9062935670","49868-8131"
"CI500201123","418 CASS AVE, MOUNT CLEMENS, Macomb, MI 48043-2123, UNITED STATES","a0i8z0000006U8fAAE","FAMILY YOUTH INTERVENTIONS","Child Caring Institution: Private","Mount Clemens","Macomb","2024-03-31","Comprehensive Youth Services, Inc","2026-03-30","Regular","5864651212","48043-2123"
"CI501000886","400 N Rose St, Suite 100, Mount Clemens, Macomb, MI 48043-1522, UNITED STATES","a0i8z000000VfxQAAS","Saint Clair Youth Treatment Center","Child Caring Institution: Private","Mount Clemens","Macomb","2024-05-13","Rite of Passage, Inc","2026-05-12","Regular","7752672646","48043-1522"
"CI520283194","1020 SILVER CREEK RD, MARQUETTE, Marquette, MI 49855-8948, UNITED STATES","a0i8z0000006U7qAAE","CEDAR CREEK TEACHING FAMILY HOME","Child Caring Institution: Private","MARQUETTE","Marquette","2024-11-23","Teaching Family Homes of Upper Michigan","2026-11-22","Regular","9062491459","49855-8948"
"CI520304229","1005 SILVER CREEK RD, MARQUETTE, Marquette, MI 49855-8951, UNITED STATES","a0i8z0000006XjnAAE","SOUTH BLUFF TEACHING FAMILY HOME","Child Caring Institution: Private","MARQUETTE","Marquette","2025-06-21","Teaching Family Homes of Upper Michigan","2027-06-20","Regular","9062495437","49855-8951"
"CI520345626","104 MALTON RD, NEGAUNEE, Marquette, MI 49866-2000, UNITED STATES","a0i8z0000006bwaAAA","GREAT LAKES RECOVERY CENTER FOR YOUTH","Child Caring Institution: Private","Negaunee","Marquette","2025-10-30","Great Lakes Recovery Centers","2027-10-29","Regular","9062289694","49866-2000"
"CI630201083","820 JAMES HUNT DR, OXFORD, Oakland, MI 48371-5344, UNITED STATES","a0i8z0000006X4NAAU","Camp Oakland","Child Caring Institution: Private","Oxford","Oakland","2024-07-27","Crossroads for Youth","2026-07-26","Regular","2486282561","48371-5344"
"CI630201167","1700 University DR, Auburn Hills, Oakland, MI 48326-2673, UNITED STATES","a0i8z0000006XkOAAU","HAVENWYCK IMPULSE DISORDER PROGRAM","Child Caring Institution: Private","Auburn Hills","Oakland","2025-12-05","Havenwyck Hospital","2027-12-04","Regular","2483734074","48326-2673"
"CI630398437","3791 BARBER RD, OXFORD, Oakland, MI 48371-1915, UNITED STATES","a0i8z0000006Vb6AAE","HOUSE OF PROVIDENCE GIRLS","Child Caring Institution: Private","OXFORD","Oakland","2025-12-21","Margaret Dunn","2027-12-20","Regular","2487092299","48371-1915"
"CI630412886","30760 GLENMUER ST, FARMINGTON HILLS, Oakland, MI 48334-1029, UNITED STATES","a0i8z0000006U8BAAU","GLEN GROVE","Child Caring Institution: Private","FARMINGTON HILLS","Oakland","2024-12-02","NRMI LLC","2026-12-01","Regular","2485389465","48334-1029"
"CI631000400","751 Hendrie Blvd, Royal Oak, Oakland, MI 48067-3150, UNITED STATES","a0i8z000000RqquAAC","The Sanctuary","Child Caring Institution: Private","Royal Oak","Oakland","2025-09-13","South Oakland Shelter dba Lighthouse MI","2027-09-12","Regular","2484513721","48067-3150"
"CI670201366","8444 OAK RD, EVART, Osceola, MI 49631-8088, UNITED STATES","a0i8z0000006X4CAAU","PINEVIEW HOMES INC","Child Caring Institution: Private","EVART","Osceola","2024-07-01","Pineview Homes Inc","2026-06-30","Regular","2317342045","49631-8088"
"CI670290156","17220 W VILLAGE RD, HERSEY, Osceola, MI 49639-9756, UNITED STATES","a0i8z0000006SfmAAE","EAGLE VILLAGE ASHMUN-SHERK","Child Caring Institution: Private","HERSEY","Osceola","2024-05-19","Eagle Village Inc","2026-05-18","Regular","2318327265","49639-9756"
"CI670290161","17106 W VILLAGE RD, HERSEY, Osceola, MI 49639-9757, UNITED STATES","a0i8z0000006iOZAAY","Eagle Village - Hainley House","Child Caring Institution: Private","HERSEY","Osceola","2024-03-01","Eagle Village Inc","2026-02-28","Regular","2318327245","49639-9757"
"CI670290163","4650 165th Ave, Hersey, Osceola, MI 49639-8776, UNITED STATES","a0i8z0000006Vb7AAE","Eagle Village Putnam","Child Caring Institution: Private","Hersey","Osceola","2025-06-20","Eagle Village Inc","2027-06-19","Regular","2318327247","49639-8776"
"CI670411576","4599 E. VILLAGE ROAD, HERSEY, Osceola, MI 49639-0000, UNITED STATES","a0i8z0000006SenAAE","EAGLE VILLAGE LEPPIEN","Child Caring Institution: Private","HERSEY","Osceola","2025-07-23","Eagle Village Inc","2026-01-22","1st Provisional","2318322234","49639-0000"
"CI670414130","3030 Long Lane Rd, Evart, Osceola, MI 49639, USA","a0i8z0000006SJ2AAM","Osceola Youth Center","Child Caring Institution: Private","Evart","Osceola","2024-11-09","Youth Opportunity Investments, LLC","2026-11-08","Regular","2315152039","49631-7218"
"CI671000528","8835 Oak Rd, Evart, Osceola, MI 49631-8087, UNITED STATES","a0i8z000000TlQeAAK","River Oak Youth Center","Child Caring Institution: Private","Evart","Osceola","2025-01-07","Youth Opportunity Investments, LLC","2027-01-06","Regular","2317808852","49631-8087"
"CI671003777","3030 1/2 Long Ln, Evart, Osceola, MI 49631-7218, UNITED STATES","a0ics000007kA3ZAAU","Osceola Youth Center Shelter","Child Caring Institution: Private","Evart","Osceola","2025-11-19","Youth Opportunity Investments, LLC","2026-05-17","Original","2697622100","49631-7218"
"CI730201193","1110 HOWARD ST, SAGINAW, Saginaw, MI 48601-2734, UNITED STATES","a0i8z0000006fCvAAI","INNERLINK","Child Caring Institution: Private","Saginaw","Saginaw","2024-05-17","Saginaw Co Youth Prot Council","2026-05-16","Regular","9897533431","48601-2734"
"CI730404189","720 South Michigan Ave., Saginaw, Saginaw, MI 48602, USA","a0i8z0000006SJRAA2","House of Love Agency","Child Caring Institution: Private","Saginaw","Saginaw","2025-07-29","House of Love Agency","2026-01-28","2nd Provisional","9894011999","48602-1528"
"CI731001543","3400 S Washington Rd, Saginaw, Saginaw, MI 48601-4958, UNITED STATES","a0i8z000000cZ9fAAE","Queen of Angels","Child Caring Institution: Private","Saginaw","Saginaw","2025-03-19","Holy Cross Children's Services","2025-09-14","1st Provisional","9897812780","48601-4958"
"CI740201466","929 PINE ST, PORT HURON, Saint Clair, MI 48060-5252, UNITED STATES","a0i8z0000006fGkAAI","THE HARBOR","Child Caring Institution: Private","Port Huron","Saint Clair","2024-03-31","Comprehensive Youth Services, Inc","2026-03-30","Regular","8109828584","48060-5252"
"CI790296492","955 COMMERCE DR, VASSAR, Tuscola, MI 48768-8954, UNITED STATES","a0i8z0000006bxCAAQ","VASSAR HOUSE","Child Caring Institution: Private","VASSAR","Tuscola","2025-11-25","Wolverine Human Services","2026-05-24","1st Provisional","9898233040","48768-8954"
"CI790363049","1020 COMMERCE DR, VASSAR, Tuscola, MI 48768-9589, UNITED STATES","a0i8z0000006bwqAAA","CLARENCE FISCHER CENTER","Child Caring Institution: Private","VASSAR","Tuscola","2024-02-11","Wolverine Human Services","2026-02-09","Regular","9898233040","48768-9589"
"CI810402260","1600 N HURON RIVER DR, YPSILANTI, Washtenaw, MI 48197-1617, UNITED STATES","a0i8z0000006U8ZAAU","OZONE HOUSE YOUTH SHELTER","Child Caring Institution: Private","Ypsilanti","Washtenaw","2024-10-03","Ozone Inc","2026-10-02","Regular","7346622265","48197-1617"
"CI820200982","38500 BEVERLY RD, ROMULUS, Wayne, MI 48174-4009, UNITED STATES","a0i8z0000006iOKAAY","BEVERLY HOUSE","Child Caring Institution: Private","ROMULUS","Wayne","2024-08-15","Spectrum Child & Family Services","2026-08-14","Regular","7347255036","48174-4009"
"CI820201008","330 GLENDALE ST, HIGHLAND PARK, Wayne, MI 48203-3277, UNITED STATES","a0i8z0000006iOnAAI","CALUMET CENTER","Child Caring Institution: Private","HIGHLAND PARK","Wayne","2025-08-25","Spectrum Juvenile Justice Services","2027-08-24","Regular","3138527500","48203-3277"
"CI820201063","15751 JOY RD, DETROIT, Wayne, MI 48228-2117, UNITED STATES","a0i8z0000006iOcAAI","CHRIST CHILD HOUSE","Child Caring Institution: Private","DETROIT","Wayne","2025-03-25","Christ Child Society","2027-03-24","Regular","3135846077","48228-2117"
"CI820201146","11875 QUIRK RD, BELLEVILLE, Wayne, MI 48111-3158, UNITED STATES","a0i8z0000006VbEAAU","GIRLSTOWN","Child Caring Institution: Private","BELLEVILLE","Wayne","2025-02-23","Girlstown Foundation","2027-02-22","Regular","7346977245","48111-3158"
